,churn
10118,1
48801,0
38869,1
2989,1
16164,1
336,1
12692,1
15209,1
8590,1
3824,1
2313,1
56830,1
6660,1
41072,1
30,1
30203,1
39779,0
6882,1
22944,1
8184,1
2804,1
5983,1
2038,1
2519,1
3253,1
6581,1
56263,0
3969,1
21118,1
1701,1
13186,1
34561,1
4942,1
31660,1
4798,1
19152,1
11527,1
6233,1
18443,1
19472,1
4790,1
10060,1
16390,1
22200,1
54777,1
23841,1
31248,1
6730,1
15303,1
26028,1
27281,1
21388,1
58448,1
1418,1
4757,1
21527,1
18866,0
21979,1
27428,1
37570,1
21471,1
20427,1
34427,1
13404,1
58174,0
21606,1
2926,1
32697,1
8560,1
1186,1
20381,1
44025,1
31401,1
38409,1
660,1
26527,1
30337,1
55970,1
6614,1
40040,1
6062,1
3929,1
50974,1
18011,1
17859,1
45024,1
15437,1
26602,1
43583,1
7445,1
14294,1
4203,1
45815,1
15294,1
35246,1
37757,1
8271,1
37026,1
344,1
24947,1
9218,1
19857,1
40369,1
57659,1
1017,1
2308,1
27804,1
22860,1
36334,1
8612,1
35361,1
48765,1
8980,1
25417,1
45525,1
31887,0
2286,1
53267,1
1849,1
1630,1
27240,1
6021,1
1051,1
34161,1
49114,1
13551,1
55398,0
9916,1
29915,1
13639,1
1340,1
24025,1
13559,1
50001,0
46348,1
17874,1
9123,1
8506,1
29414,1
1090,1
48249,1
8426,1
10387,1
608,1
34355,1
19508,1
25957,1
59859,1
36055,1
18102,1
7246,1
55452,1
2470,1
12008,1
12192,1
52434,1
50972,1
45271,1
45347,0
33113,1
34275,1
5086,1
19685,1
18081,1
45461,1
2621,1
27476,1
2027,1
55807,1
35053,1
16582,1
2977,1
6483,1
25167,1
1723,1
1619,1
49959,1
8174,1
7319,1
11660,1
23704,1
750,1
10311,1
21626,1
9144,1
26745,1
26546,1
12827,1
21934,1
15251,1
32554,0
3967,1
54352,1
38638,1
4056,1
9440,1
30717,1
19591,1
63627,1
32234,1
32735,1
158,1
4664,1
36513,1
25199,1
19702,1
5478,1
10362,1
25882,1
4342,1
11077,0
36081,1
7777,1
23977,1
188,1
28528,1
563,1
7603,1
49985,1
28850,1
22013,1
33538,0
20957,1
11646,1
3002,1
37332,0
45758,1
6037,1
49941,1
30576,1
26250,1
39059,1
10818,1
22216,1
9250,1
25027,1
4162,1
14492,1
10622,1
38899,0
35474,1
8719,1
14219,1
8655,1
29733,1
20287,1
3127,1
9676,1
26980,1
2318,1
18024,1
48684,0
12067,1
30885,1
33922,1
19908,1
305,1
24482,1
67190,0
25781,1
40849,1
15099,1
35495,1
32047,1
3393,1
38101,1
14182,1
6937,1
24385,1
3857,1
45417,0
33470,1
5795,1
4707,1
14316,1
34310,1
50225,1
1884,1
7707,1
32585,1
1874,1
13275,1
16528,1
14406,1
29814,1
6852,1
10159,1
19984,1
9062,1
1244,1
11469,1
4340,1
4076,1
48796,1
31040,1
19080,1
45999,1
16797,1
31937,1
20888,1
2872,1
1511,1
1518,0
34314,1
48645,1
27927,1
41871,1
1900,1
23173,0
27181,1
8847,1
46952,1
24750,1
2020,1
38770,1
7479,1
15270,1
25221,1
27140,1
6714,1
20505,1
16099,1
15500,1
7791,0
3933,1
49038,1
7006,1
33085,1
17310,1
28679,1
22958,1
7646,1
21140,1
23144,1
50868,0
46805,1
49719,0
13057,1
8524,1
15272,1
15420,1
35190,0
33499,1
20824,1
12972,1
48890,0
5455,1
12456,1
14252,1
2952,0
58747,1
4965,1
30729,1
19935,1
20815,1
40493,1
17408,1
48582,1
7930,1
23888,1
7040,1
26016,1
32949,1
60730,0
34144,1
6839,1
43263,1
56807,0
12812,1
9331,1
34630,1
26184,0
30488,1
46798,0
6072,1
18634,1
6148,1
10373,1
25162,1
19344,1
50542,1
15182,1
7734,1
966,1
30059,1
19043,0
41401,1
14660,1
36214,0
2658,1
9317,1
28366,1
15068,1
10288,1
2235,1
29980,1
27146,1
25631,1
68911,1
4811,1
1676,1
4550,1
3034,1
13543,1
8079,1
15019,1
31889,1
11747,1
24999,1
16492,1
21718,1
46186,1
19910,1
68043,1
36934,1
38922,1
17729,1
22465,0
10843,1
7554,1
36484,1
15337,1
29233,1
29295,1
14210,1
34012,1
35787,1
3805,1
767,1
6905,1
44462,1
1373,1
71967,1
9153,1
15128,1
6662,1
20174,1
7509,1
13268,1
23606,1
15164,1
14446,1
32309,1
1135,1
21331,1
3354,1
45173,0
8099,1
5721,1
32904,1
1966,1
10173,1
49808,1
17689,1
33672,1
12512,0
55,1
33327,1
24756,1
8698,1
5890,1
550,1
37569,1
13347,1
11933,1
25215,1
58128,0
31875,1
39743,1
32397,1
37846,1
10848,1
50812,0
17420,1
13723,1
5331,1
4922,1
15739,1
4238,1
11743,1
10997,0
24242,1
37144,1
10275,1
27091,1
26914,1
6047,1
14277,1
37649,1
12899,1
28353,1
38826,1
5650,1
4945,1
6291,1
1837,1
28571,1
7508,1
62805,0
7915,1
3587,1
25080,1
3356,1
28824,1
34214,0
14190,1
2114,0
45249,0
14633,1
747,1
14894,1
7222,1
36380,1
19593,1
50587,1
30510,0
924,1
46428,1
16162,1
43408,1
47700,1
48156,1
20024,1
3206,1
8351,1
26195,1
25366,1
43172,1
14175,1
39112,1
35773,1
43131,1
20506,1
12094,1
40480,1
29028,1
898,1
39315,1
37553,1
27998,1
28312,1
57603,1
29184,0
6726,1
15026,1
5328,1
15767,1
48291,1
32290,1
12129,1
32466,1
5777,1
21111,1
507,1
27845,1
30936,1
5213,1
12036,1
48639,1
6069,1
14710,1
52614,1
13582,1
48902,1
10268,1
31682,1
3306,1
50947,1
17,1
15803,1
29392,1
51611,1
33898,0
2335,1
3684,1
164,1
31560,1
30663,1
19193,1
16692,1
44713,1
33,1
10211,1
19160,1
48512,0
15073,1
22543,1
71947,1
12500,1
6017,1
20778,1
26677,1
16604,1
47351,1
51462,1
9486,1
1716,1
15340,1
2524,1
1755,1
51844,1
3387,1
51182,1
4870,1
30163,1
46984,1
4994,1
23451,1
20420,1
11788,1
6899,1
4394,1
46873,1
33504,1
47169,1
5550,1
15643,1
2826,1
26087,1
33261,1
34835,0
6185,1
7244,1
22989,1
5370,1
12184,1
7165,1
14176,1
25581,1
19360,1
19256,1
20277,1
27522,1
35422,1
14126,1
30812,1
34519,1
22138,1
2305,1
25938,1
38871,1
29340,1
15898,1
6198,1
4977,1
23985,1
20807,1
25394,1
17508,1
21760,1
35660,1
27914,0
46056,1
9220,1
11445,1
29856,1
2550,1
26802,1
743,1
18455,1
64141,1
38720,1
3077,1
3991,1
20562,1
4683,1
11284,1
16577,1
36827,1
1517,1
2991,1
15162,1
30650,1
6149,1
29970,1
241,1
17575,1
16900,1
8251,1
19813,1
7265,1
29798,1
12152,1
26189,1
46090,0
3448,1
27685,1
3075,1
41953,1
23982,1
31413,1
12272,1
36353,1
4036,0
51983,1
5981,1
48287,1
24791,1
37519,0
22036,1
49177,0
7555,1
2873,1
23130,1
37635,1
25886,1
39264,1
30389,1
54897,1
4891,1
34253,0
936,1
54904,1
37581,1
5416,1
20627,1
34101,1
10520,1
39170,1
49338,1
8790,1
22383,1
37216,1
4257,0
6664,1
492,1
7968,1
12853,1
30061,1
26187,1
12275,1
53225,1
22966,1
37627,1
6919,1
5415,1
13165,1
32204,1
14459,1
13800,1
17318,1
56948,1
15583,1
18576,1
20889,1
3287,1
6466,1
4327,1
30464,1
28602,1
3828,1
16346,1
19380,1
58029,1
12174,1
804,1
50905,0
29652,1
12466,1
18921,1
11005,1
40174,1
27613,1
33501,1
7510,1
9231,1
46444,1
34404,1
17795,1
31568,1
16763,1
39019,1
46088,1
30140,1
56695,1
850,1
51242,0
7516,1
11927,1
27252,1
28842,1
25116,1
43417,0
35784,1
24209,1
28272,1
7698,1
56959,1
24419,1
27700,1
6059,1
15844,1
16990,1
28141,1
54432,1
18706,1
38753,1
7883,1
26518,1
20965,1
3142,1
2929,1
2838,1
27420,1
20049,1
38113,1
39429,1
26728,1
40914,1
21252,1
17191,1
49699,0
21051,1
7664,1
4415,1
36697,1
8976,1
24665,1
39461,1
35713,1
220,1
62285,0
8837,1
30233,1
828,1
8766,1
6863,1
23576,1
8977,1
51630,1
11031,1
15769,1
9666,1
12485,1
3194,1
9370,1
31639,0
24282,1
34401,1
40435,0
33163,1
56476,1
1320,1
14499,1
10315,1
34955,0
46544,1
6127,1
19562,1
24955,1
1097,1
48464,1
2747,1
9708,1
432,1
626,1
31535,1
13618,0
10570,1
16477,1
13978,1
56179,1
201,1
30971,1
49774,0
27223,1
27422,1
10782,1
12009,0
25551,1
27106,1
16488,1
47870,1
20005,1
40712,1
7281,1
37863,1
25706,1
19600,1
11400,1
45140,0
2723,1
25569,0
55806,0
31556,1
15120,1
1392,1
8717,1
6671,1
14665,1
18448,1
18629,1
22134,1
4989,1
30637,1
8140,1
4020,1
28597,1
10473,1
16515,1
15909,0
4294,1
1571,1
2141,1
48944,0
23124,1
20972,1
466,1
69775,0
28826,0
8789,1
2382,1
25806,1
8582,1
48350,1
23314,1
70469,0
3050,1
21368,1
5804,1
4954,1
3195,1
20136,1
21668,1
34252,1
20504,1
18598,1
49190,1
9003,1
5168,1
3008,1
2052,1
23195,1
19628,1
424,1
7548,1
2371,1
6454,0
20299,1
56702,1
35975,1
26699,1
3168,1
62519,1
16190,1
26330,1
25511,1
29778,1
36759,0
6890,1
28855,1
16328,1
25299,1
3298,1
15879,1
7325,1
61680,1
2956,1
41140,1
2127,1
8024,1
7437,1
22700,1
27363,1
1908,1
12346,0
15550,1
35580,1
13673,1
6873,1
29135,1
12479,1
15516,1
4761,1
3953,1
9494,1
42172,1
2068,1
25790,1
22740,1
57823,1
7901,1
21661,1
19642,1
1324,1
3607,1
4452,1
23483,1
9630,1
15014,1
15010,1
31379,1
37610,1
8656,1
16030,1
10587,1
2778,1
5469,1
9424,1
53433,1
40916,1
44161,0
43487,1
46553,1
6719,1
16258,1
47913,1
12121,1
21363,1
5597,1
25629,1
10424,1
37983,1
13334,1
24433,1
6651,1
2160,1
36763,1
22300,1
1009,1
3609,0
873,1
14207,1
20863,1
16906,1
21705,1
20719,1
20857,1
61920,1
22113,1
8084,1
32807,1
48604,0
11027,1
19448,0
7892,1
32075,1
25641,1
15426,1
458,1
21614,1
15232,1
32632,1
24995,1
7080,1
23535,1
48043,1
62865,1
12170,1
36299,1
29806,0
16464,1
170,1
45490,1
48669,1
8494,1
16599,1
38162,1
20968,1
49976,0
5956,1
13159,1
6550,0
49762,1
39375,1
28286,1
42733,1
33926,1
2987,1
4011,1
16470,1
25566,1
27213,1
15349,1
18444,1
44350,1
14533,1
13920,1
9453,1
9895,1
15038,1
1834,1
36648,1
23053,1
12135,1
45821,1
4710,1
36578,1
21061,1
7929,1
44425,1
34641,1
35824,1
38250,1
2377,1
652,1
72131,1
15882,1
71,1
25898,0
28234,1
47956,0
28641,1
22526,1
4371,1
25190,0
12591,1
11763,1
4113,1
55043,1
2601,1
20686,0
31412,1
2430,1
22245,1
49282,1
25942,1
12649,1
4375,1
1245,1
5407,1
33002,1
4133,1
25016,1
5582,1
17299,1
15316,0
4099,1
314,1
7570,1
50181,1
13539,1
51110,1
23325,1
24098,1
26622,1
4728,1
247,1
4493,1
39326,1
8080,1
3294,1
11569,1
22733,1
62217,1
24736,1
27887,1
40818,1
6635,1
18308,0
2023,1
27648,1
1413,1
37451,1
19665,1
57848,1
32878,1
48982,1
32544,1
16486,1
19014,1
14047,1
7549,1
27185,1
20461,0
39695,1
47201,1
4740,1
32424,1
17890,1
8965,1
65344,1
18196,1
1999,1
570,1
2627,1
14645,1
37462,1
41633,1
56414,1
12003,1
14866,1
22584,1
49397,0
20708,1
9042,1
12984,1
36475,1
10744,1
6400,1
10589,1
49668,0
8927,1
32070,1
24838,1
9835,1
5708,1
66705,0
52053,1
33012,1
8617,1
3725,1
41890,1
36440,1
6710,1
15201,1
7103,1
14415,1
16853,1
45384,0
48398,0
5286,1
42474,1
3749,1
12452,1
11322,1
56126,0
10646,1
6476,1
32701,1
15388,1
38319,1
38337,1
50926,0
27579,1
38237,1
23412,1
2949,1
3801,1
30103,1
24113,0
16940,1
14211,1
42410,1
16573,1
36824,1
21746,1
3699,1
4535,1
7948,1
21204,1
33429,1
25836,1
39555,1
22062,1
25105,1
1515,1
29854,0
15066,1
741,1
37845,1
21,0
2711,1
40618,1
29706,1
19573,1
13646,1
10582,1
5419,1
34256,1
5338,1
24515,1
14389,1
13185,1
27690,1
1011,1
4195,1
30955,1
10439,1
41830,1
1460,1
37897,1
60905,1
47942,1
3797,1
5146,1
19631,1
18970,1
25585,1
4231,1
18945,1
71395,0
8584,1
5797,1
21158,1
4630,1
12032,1
34929,1
39495,0
47687,1
64,1
2420,1
2964,1
6515,1
21759,1
6786,1
31225,1
25206,1
18925,1
167,1
21242,1
47905,1
26479,0
47995,1
6989,1
3962,1
30801,1
15101,1
3203,1
24605,1
47901,0
10250,1
8697,1
58709,1
37812,0
4227,1
22224,1
18765,1
18273,1
8912,1
4274,1
38042,1
10505,1
36761,1
26422,1
3671,1
22909,1
5010,1
3093,1
14930,1
18049,1
10116,1
9097,1
2333,1
6433,1
45157,0
38700,1
21154,1
51399,1
35166,0
14241,1
47301,0
11313,1
21007,1
29060,1
2171,1
24802,0
27170,0
5044,1
8850,1
18892,1
48558,1
45368,0
11010,1
3479,1
6859,1
57678,1
26058,1
7473,1
58222,1
30785,0
5133,1
24384,1
27215,1
5198,1
19221,1
2615,1
51414,1
24866,1
44563,1
7459,1
51394,1
3226,1
7886,1
33636,1
23508,0
1302,1
25920,1
9709,1
19900,1
37595,1
6569,1
3700,1
12593,1
28455,1
30156,1
37772,1
36363,1
47892,0
31394,1
6434,1
20488,1
17975,1
5677,1
54845,1
19376,1
12102,1
20349,1
13676,1
44507,0
72070,1
3614,1
122,1
10212,1
15614,1
17413,1
61931,1
19447,1
6032,1
18603,1
6514,1
22867,1
10621,1
689,1
48776,1
62303,0
26188,1
26584,1
38124,1
31725,1
28764,1
25533,1
14135,1
2144,1
37894,0
124,1
21473,1
4516,1
30607,0
12391,1
36123,1
24583,1
25733,1
38918,1
13719,1
19120,1
2355,1
4334,1
24484,1
2438,1
26288,1
46639,1
4909,1
18867,1
31387,1
537,1
27468,1
34794,1
67037,1
13016,1
27726,1
17112,1
21690,1
6908,1
24768,1
46341,1
222,1
3816,1
6998,1
27976,1
17544,1
5538,1
25929,1
28166,1
32094,1
21584,0
6356,1
18824,1
47390,0
51064,1
23454,1
23688,0
11021,1
37722,1
16182,1
33167,1
25004,1
6950,1
69536,0
7025,1
8258,1
35186,1
66505,0
9152,1
3187,1
32709,1
7870,1
16773,1
12824,1
41090,0
3329,1
5038,1
49071,0
1620,1
18961,1
32445,0
46960,1
19846,1
15890,1
17123,0
6136,1
51896,1
19943,1
2606,1
2847,1
34539,1
7616,1
26865,1
10809,1
64330,1
46148,1
13998,1
43186,1
9001,0
12404,1
25707,1
629,1
4826,1
12071,1
28984,1
13431,1
33752,1
8385,1
37486,1
1498,1
31545,0
27873,1
50784,0
19928,1
35559,1
1145,1
5252,1
1246,1
28198,1
67367,0
10052,1
52799,1
20764,1
28790,1
1462,1
3274,1
27938,0
14780,1
24528,1
45554,0
7471,1
72267,1
13065,1
10223,0
1013,1
37653,1
37473,1
1606,1
37176,1
5810,1
8144,1
52070,1
28609,1
9188,1
50231,0
25901,1
3848,1
35247,1
7088,1
12597,1
2398,1
2829,1
43649,1
8553,1
3100,1
24561,1
4119,1
29861,1
37613,0
7588,1
10310,1
34633,1
10083,1
20768,1
15063,1
6925,1
23198,1
20202,1
7745,1
7382,1
27206,1
27332,1
10954,1
1232,1
16427,1
13660,1
23956,1
11828,1
24650,1
37761,1
572,1
8261,1
50758,1
25112,1
105,1
10017,1
43608,1
8701,1
30336,1
10902,1
5432,1
5761,1
2707,1
49747,1
1194,1
9185,1
6991,1
36923,1
6584,1
52651,1
13517,1
12983,1
6042,1
19047,1
19303,1
44905,1
3916,1
18919,1
30251,1
32618,1
66064,0
15457,1
5580,1
33669,1
8114,0
19003,1
6674,1
23127,1
9225,1
27891,1
33915,0
26054,1
29988,1
21353,1
15187,1
41018,1
794,1
25846,1
53015,1
41758,1
21272,1
15215,1
61818,0
49648,0
9270,1
