,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit
14342,1,1,7.44,53,,0,0.0,0.0,0
3272,1,0,1.65,14,,4,0.0,0.0,0
23577,1,1,3.66,25,,0,28.4,2.4,0
17036,1,0,2.09,23,,0,18.5,3.5,0
19958,1,0,3.36,8,,0,0.0,0.0,0
649,1,0,4.69,12,,0,0.0,0.0,0
9773,1,0,2.65,21,,0,4.7,0.3,0
27005,0,0,3.05,7,,0,0.0,0.0,0
3528,1,1,1.91,24,,0,0.0,0.0,0
281,0,0,8.69,162,,0,0.0,0.0,0
3711,1,1,2.11,0,,0,0.0,0.0,4
14967,1,0,0.42,15,,0,0.0,0.0,0
15697,1,0,2.59,0,,0,20.0,2.2,1
37419,1,0,2.07,22,,0,46.4,3.5,0
4127,1,0,1.62,12,,1,0.0,0.0,0
27761,1,1,2.55,104,,0,504.5,7.4,0
22815,1,0,2.85,24,,0,8.4,2.5,0
28097,1,0,3.14,24,,0,33.0,1.1,0
58594,1,0,1.01,20,,0,172.5,23.2,0
31292,1,0,2.65,32,,0,51.6,2.8,0
18489,0,0,1.87,22,,2,17.7,1.5,0
39217,1,0,1.09,23,,0,34.5,1.4,0
17491,0,0,3.01,10,,0,4.1,0.6,6
21957,1,1,3.88,10,,0,0.5,0.0,0
34334,1,0,2.03,22,,2,82.8,4.2,0
47564,0,0,2.39,28,,3,25.1,1.0,0
49905,1,0,2.75,21,,0,59.3,6.5,0
63719,1,0,1.28,20,,0,10.3,0.4,0
4618,0,0,2.98,12,,0,0.0,0.0,0
9864,1,1,2.59,23,,0,28.6,4.0,0
13438,1,1,6.77,19,,0,88.1,3.7,0
4449,1,0,2.03,10,,0,0.0,0.0,0
36953,1,0,1.57,32,,0,40.4,1.7,0
3347,0,0,3.55,22,,0,11.0,0.6,0
14993,0,0,3.76,21,,0,16.2,0.8,0
6963,1,0,2.81,0,,0,2.1,0.2,6
65167,1,1,1.11,0,,0,0.0,0.0,0
68487,0,0,0.36,23,,0,45.7,6.5,0
19010,0,0,2.21,0,,0,0.0,0.0,0
20056,0,0,1.75,22,,0,34.2,4.1,0
10454,0,0,1.98,21,,0,0.0,0.0,0
26585,0,0,2.24,20,,0,11.4,0.9,0
19752,1,1,3.13,17,,0,42.9,1.0,0
2613,0,0,3.1,22,,1,0.0,0.0,0
3786,1,1,2.38,0,,1,0.0,0.0,6
31173,1,0,4.39,17,,1,58.9,2.0,0
21151,1,0,3.17,21,,0,48.6,2.1,0
26971,0,0,1.05,22,,0,6.5,0.6,0
7390,1,1,1.05,44,,0,0.0,0.0,4
19413,0,0,1.2,0,,0,0.0,0.0,0
29049,0,0,2.01,53,,0,135.6,17.3,0
36527,1,0,2.03,22,,2,56.3,2.0,0
37444,1,0,3.63,33,,0,141.2,21.7,0
49377,1,0,2.16,9,,0,87.7,7.3,0
13358,1,0,2.5,0,,0,1.7,0.2,4
2697,0,0,5.41,20,,0,1.2,0.1,0
6006,1,0,3.34,23,,0,21.2,2.8,0
26503,1,1,5.47,33,,0,5.1,0.6,0
5909,1,0,7.82,22,,0,78.0,7.9,0
13245,1,1,4.15,26,,0,2.6,0.4,0
16272,1,0,2.07,23,,0,5.0,0.7,0
12412,0,0,2.62,23,,0,17.2,1.2,0
20656,1,0,1.78,22,,0,5.4,0.5,0
46,1,0,10.26,17,,0,0.0,0.0,0
54930,1,1,1.58,35,,1,42.7,1.6,0
37308,1,0,1.04,25,,0,126.1,12.7,0
622,1,0,6.43,21,,0,43.2,2.2,0
19610,1,0,2.01,22,,0,7.0,0.4,0
9046,1,1,2.64,22,,0,15.9,5.0,0
30867,1,0,0.47,0,,1,21.2,1.2,2
18466,1,1,2.35,0,,0,15.8,2.3,2
35021,1,0,0.63,22,,0,24.7,0.8,1
8570,0,0,2.11,16,,0,0.0,0.0,0
11996,1,0,3.66,56,,0,297.5,34.7,0
39,0,0,5.62,0,,0,0.0,0.0,0
26114,0,0,4.1,24,,0,27.9,2.5,0
2890,1,1,3.45,0,,0,0.0,0.0,7
3559,1,0,1.68,21,,0,0.0,0.0,0
12775,1,1,2.19,23,,1,16.4,1.2,0
53871,1,0,1.98,12,,0,30.8,1.4,0
31002,0,0,0.55,26,,0,32.6,6.7,0
39943,1,1,3.21,45,,3,188.4,9.1,0
24919,1,1,3.24,32,,1,83.9,6.1,0
2653,0,0,2.07,0,,0,0.0,0.0,0
1027,1,1,7.34,24,,0,21.5,1.9,0
52216,1,0,2.05,33,,3,76.4,5.1,0
18684,1,0,3.51,13,,0,2.6,15.9,3
25588,1,0,1.35,21,,0,5.4,0.3,0
20812,0,0,1.15,21,,0,0.0,0.0,0
12588,1,1,5.95,15,,0,11.3,0.7,0
5666,0,0,2.15,22,,1,0.0,0.0,0
37125,0,0,1.03,26,,1,21.0,1.0,0
12467,1,1,2.6,22,,1,11.6,0.6,0
31914,0,0,1.02,21,,0,5.9,0.3,0
38653,1,0,1.29,27,,0,49.3,2.3,0
24049,1,0,5.79,24,,0,58.9,2.9,0
11328,0,0,2.0,22,,0,0.0,0.0,0
30671,1,1,3.96,17,,0,0.0,0.0,0
44972,1,0,2.98,35,,0,30.2,2.0,0
47309,1,0,2.42,32,,0,85.7,7.3,0
24940,1,0,5.69,24,,0,47.0,3.8,0
21030,1,0,2.02,38,,0,91.8,32.4,0
9604,1,1,2.17,22,,0,0.0,0.0,0
37328,1,1,3.65,33,,0,10.9,0.3,0
8810,0,0,2.32,56,,2,1.8,0.5,0
48018,1,1,2.81,19,,0,12.4,2.2,0
44692,1,0,2.0,25,,0,48.7,5.3,0
358,1,0,5.44,21,,0,0.0,0.0,0
55423,1,0,2.15,20,,0,1.8,0.0,0
12220,0,0,2.66,23,,1,13.0,0.9,0
19738,1,0,6.15,24,,0,44.3,1.9,0
22182,0,0,2.27,56,,0,27.6,1.9,0
22122,1,0,2.81,24,,0,4.2,0.6,0
25758,0,0,0.41,19,,0,0.0,0.0,0
21456,1,0,2.03,21,,0,14.1,0.6,0
8171,1,1,1.98,0,,0,0.0,0.0,0
28619,1,1,0.75,34,,0,62.4,2.9,0
395,0,0,4.84,12,,0,0.0,0.0,0
7735,1,1,3.01,52,,0,128.9,14.1,0
500,0,0,5.87,0,,0,0.0,0.0,0
16649,1,0,2.07,20,,0,12.9,1.5,0
25001,1,0,0.36,20,,0,0.0,0.0,0
3566,1,1,5.54,17,,0,22.2,1.7,0
29523,1,1,0.93,21,,0,5.7,0.5,0
15193,1,0,3.23,24,,1,7.9,0.5,0
24742,0,0,2.24,22,,0,9.0,0.8,0
4697,0,0,1.51,17,,0,0.0,0.0,0
5197,1,0,2.27,0,,1,0.0,0.0,6
34460,1,0,0.63,0,,0,1.0,0.0,1
43462,1,0,0.72,30,,0,25.8,0.7,0
6334,1,0,3.43,13,,1,1.3,0.1,0
4642,1,0,3.42,13,,0,8.1,0.5,0
51709,1,0,2.09,6,,0,0.0,0.0,0
1168,1,0,9.28,18,,0,4.7,0.4,0
9422,0,0,3.1,31,,4,32.7,3.2,3
7724,1,1,1.71,24,,0,0.0,0.0,0
24267,1,0,0.74,24,,0,0.0,0.0,0
2851,1,1,4.48,35,,1,66.7,5.8,0
36341,0,0,3.8,81,,0,291.7,88.3,0
30008,1,1,4.37,15,,0,35.3,2.7,0
7519,0,0,2.6,0,,0,0.0,0.0,0
12770,0,0,1.21,12,,0,0.0,0.0,0
19268,1,0,4.05,26,,0,40.3,8.7,0
30184,0,0,2.83,20,,0,43.2,2.6,0
50406,1,0,1.98,30,,0,29.2,2.0,0
17167,1,0,2.16,23,,1,14.6,1.6,0
9520,1,1,2.44,0,,0,0.5,0.1,1
27138,1,0,0.89,12,,0,3.9,0.4,0
38090,0,0,0.07,0,,0,0.8,0.1,0
23581,1,1,3.93,15,,0,35.1,5.1,0
41599,1,0,2.98,24,,0,45.2,3.0,0
9373,1,1,2.87,22,,0,9.1,1.5,0
10766,1,0,3.82,10,,0,0.8,0.1,1
25972,1,0,0.96,23,,0,1.1,0.1,0
658,1,0,10.55,21,,2,20.0,1.8,0
19525,0,0,0.79,14,,1,0.0,0.0,0
60259,1,0,0.75,9,,0,1.7,0.2,0
27941,0,0,2.56,22,,0,11.8,0.9,0
43059,1,0,2.58,36,,0,23.0,3.0,0
53857,0,0,0.77,33,,0,21.4,2.9,0
18388,1,0,2.12,22,,0,2.1,0.1,0
16731,1,0,5.12,11,,0,0.8,0.1,2
35049,1,0,1.99,29,,0,12.4,0.6,0
51171,0,0,2.0,24,,0,32.7,3.0,0
20043,1,0,2.06,0,,0,0.2,0.0,0
1269,0,0,2.85,51,,0,0.0,0.0,0
3056,1,0,4.45,0,,0,7.5,0.6,0
6039,1,0,3.16,23,,0,21.2,0.7,0
19559,1,0,3.39,20,,0,8.2,0.5,0
5003,1,1,2.45,0,,0,0.0,0.0,7
28275,1,0,3.62,33,,0,90.7,10.1,0
8605,0,0,2.0,27,,0,0.0,0.0,0
25534,1,1,3.87,10,,0,0.0,0.0,0
11604,1,0,2.73,22,,0,27.6,2.3,0
72207,0,0,0.21,26,,0,88.4,4.6,0
9354,1,0,2.69,36,,0,32.6,4.0,0
23355,1,0,1.98,22,,0,0.0,0.0,0
21682,1,0,2.09,0,,0,1.5,0.1,4
70375,1,0,0.12,72,,2,1947.9,200.6,0
19391,1,0,4.35,10,,0,0.8,0.1,1
26029,1,1,0.68,22,,0,2.2,0.2,0
12549,0,0,1.98,16,,1,1.0,0.0,0
13410,1,1,0.6,0,,1,0.0,0.0,2
7446,0,0,1.51,0,,0,0.0,0.0,4
49013,1,1,2.06,34,,5,102.1,5.4,0
22905,1,0,2.01,37,,0,0.0,0.0,0
11622,1,0,5.82,12,,0,1.1,0.1,2
20751,1,0,2.04,20,,0,18.0,14.4,0
9774,1,0,1.98,0,,0,0.0,0.0,4
8928,0,0,2.66,22,,0,18.4,1.6,0
46297,1,0,1.98,22,,0,3.9,1.9,0
5552,0,0,4.66,24,,2,17.3,1.6,0
9595,0,0,3.67,18,,0,5.2,0.4,0
5877,1,0,2.59,22,,0,0.0,0.0,0
49034,1,0,2.0,19,,0,84.4,9.4,0
1327,1,1,5.84,39,,0,10.4,1.3,0
33433,1,0,4.04,20,,0,27.1,3.1,0
16729,1,0,4.64,22,,0,30.2,5.9,0
3733,1,1,2.05,0,,4,0.0,0.0,6
20436,1,0,1.98,11,,0,15.9,3.7,1
31834,1,0,1.55,21,,0,65.1,3.3,0
7789,0,0,4.18,23,,1,19.0,2.5,0
15159,1,1,2.51,20,,0,12.9,1.1,0
42696,0,0,2.56,41,,0,72.0,3.4,0
23448,1,0,1.98,22,,0,13.9,1.3,0
57974,1,0,1.99,12,,0,35.1,3.9,0
70321,1,0,0.93,25,,0,25.5,1.8,0
178,0,0,6.46,0,,0,0.0,0.0,0
11051,1,0,2.95,20,,0,7.6,0.5,0
52115,1,0,1.98,22,,0,66.5,5.4,0
4696,1,0,4.79,18,,0,7.6,0.4,0
20482,1,0,3.99,21,,0,24.2,1.0,0
36635,1,1,3.27,25,,0,32.1,2.7,0
3712,0,0,1.72,14,,0,0.0,0.0,0
30094,1,1,2.19,24,,0,6.7,0.2,0
27744,1,0,3.52,15,,0,53.2,3.3,0
54378,1,0,1.65,33,,0,155.2,4.6,0
32498,1,0,1.98,30,,1,2.5,0.3,0
3020,0,0,3.6,21,,1,30.2,3.2,0
226,0,0,5.85,14,,0,0.0,0.0,0
14537,0,0,2.17,24,,0,15.1,3.4,0
232,0,0,5.12,0,,0,0.0,0.0,0
9553,0,0,2.24,17,,0,0.0,0.0,0
12586,0,0,3.78,24,,0,32.1,4.2,0
10476,0,0,3.75,24,,0,11.0,0.4,0
5901,0,0,1.98,0,,0,0.0,0.0,4
4784,1,1,1.76,21,,1,0.0,0.0,0
17666,1,0,1.98,21,,0,1.7,0.3,0
48425,1,0,2.06,12,,1,94.3,6.9,0
1902,1,0,4.85,15,,0,11.9,0.4,2
44449,0,0,1.27,25,,3,47.9,1.9,0
6105,1,0,1.81,10,,0,0.0,0.0,0
14493,1,1,1.67,23,,0,0.0,0.0,0
17379,1,0,2.12,22,,0,6.7,0.4,0
1229,1,0,4.89,14,,0,0.0,0.0,0
5027,1,1,2.08,33,,0,0.0,0.0,4
641,0,0,10.39,27,,0,171.2,8.5,1
30780,0,0,0.79,22,,0,1.5,0.1,0
756,0,0,3.27,0,,0,0.0,0.0,7
20478,0,0,0.28,22,,0,0.0,0.0,0
39103,1,1,3.94,0,,0,0.0,0.0,0
4469,0,0,1.9,56,,0,0.0,0.0,0
4084,1,0,4.21,17,,0,1.7,0.1,0
31492,1,0,0.23,20,,0,2.6,1.1,0
13270,0,0,2.07,23,,0,0.0,0.0,0
29491,1,0,2.04,24,,0,7.8,0.4,0
18727,1,0,6.24,20,,1,12.5,0.7,0
46612,0,0,0.0,0,,0,0.0,0.0,0
63686,1,1,0.75,32,,0,41.0,7.4,0
13,0,0,5.53,14,,0,0.0,0.0,0
29120,1,0,0.43,19,,0,1.9,0.1,0
23502,1,1,2.2,22,,0,24.3,2.2,0
14270,0,0,0.95,57,,0,0.0,0.0,0
5581,0,0,3.74,16,,0,8.4,0.8,0
12137,1,1,2.29,20,,0,4.5,1.5,0
41712,1,0,3.05,24,,0,23.7,2.1,0
25160,0,0,0.0,0,,0,0.0,0.0,0
6220,1,0,1.01,13,,0,0.0,0.0,0
15481,1,0,3.51,34,,0,10.1,2.1,0
26002,0,0,1.02,22,,0,23.9,1.8,0
22758,1,0,2.2,21,,0,2.7,0.3,0
54393,1,0,1.59,22,,0,100.5,7.0,0
20044,1,0,2.22,17,,0,6.2,0.5,0
6554,1,0,1.82,14,,0,0.0,0.0,0
38542,1,1,3.96,11,,0,3.5,0.2,0
7579,0,0,0.99,44,,0,0.0,0.0,3
800,1,0,5.48,53,,0,30.6,1.8,0
23846,0,0,3.24,24,,0,27.3,1.8,0
28590,1,0,0.8,18,,0,14.9,3.3,1
36394,0,0,1.02,21,,2,19.1,0.9,0
14308,0,0,3.87,1,,0,2.8,0.6,0
54984,1,1,1.98,10,,0,100.6,12.9,0
23132,1,0,2.24,18,,0,0.0,0.0,0
22882,1,1,2.07,21,,3,10.8,0.4,0
338,0,0,5.62,10,,0,0.0,0.0,0
6876,0,0,4.81,10,,0,13.9,1.3,3
3517,1,0,1.73,14,,0,0.0,0.0,0
29363,1,0,1.13,23,,0,12.3,0.7,0
49489,1,0,1.99,22,,0,77.2,11.9,0
5427,1,1,5.35,25,,0,59.5,4.2,0
39143,0,0,3.33,33,,0,83.8,6.3,0
4343,1,1,2.17,23,,0,0.0,0.0,0
4055,0,0,1.85,0,,0,0.0,0.0,0
31445,0,0,4.55,16,,0,87.6,9.0,0
4479,1,1,2.48,0,,0,0.0,0.0,0
20023,1,0,2.02,20,,0,29.3,3.5,0
1444,0,0,5.25,16,,0,0.3,0.0,0
22900,1,0,3.87,21,,0,0.7,0.2,0
31943,0,0,1.52,23,,0,7.0,0.7,0
23247,0,0,2.36,21,,0,19.4,0.7,0
27344,1,0,3.8,22,,0,41.3,1.8,0
8478,1,0,2.16,22,,0,0.0,0.0,0
20749,0,0,5.39,17,,0,28.2,2.4,0
70479,1,0,0.93,11,,0,37.5,2.7,0
4100,1,0,3.42,13,,0,2.8,0.4,0
59968,0,0,0.99,58,,0,221.2,11.4,0
4430,0,0,2.9,14,,0,0.0,0.0,0
19922,1,1,0.32,0,,0,0.0,0.0,3
11573,0,0,2.01,23,,0,0.0,0.0,0
19332,1,0,3.23,19,,0,20.0,1.2,0
44904,1,0,1.99,23,,3,61.9,3.4,0
15681,0,0,2.13,0,,0,5.1,0.9,7
13664,1,1,0.62,21,,0,0.0,0.0,0
2820,0,0,1.64,14,,5,0.0,0.0,0
5914,1,0,5.52,30,,0,76.7,5.3,0
8349,1,0,3.44,23,,0,27.5,1.1,0
21226,1,1,6.4,17,,0,29.8,4.6,0
57424,1,0,1.24,31,,0,25.0,1.9,0
52773,1,0,0.81,43,,0,67.9,25.1,0
21792,0,0,2.02,21,,0,4.4,0.3,0
308,1,0,8.35,0,,0,0.0,0.0,0
8353,1,0,6.85,22,,0,26.9,5.5,0
19587,1,1,2.75,22,,0,16.9,1.0,0
8752,1,1,4.98,27,,0,13.1,0.7,0
16725,0,0,3.1,20,,0,0.1,0.0,0
33452,1,0,2.2,28,,1,17.3,0.9,0
50566,1,0,2.92,59,,0,103.7,6.4,0
1335,0,0,8.33,33,,0,64.0,8.1,0
46901,1,0,2.49,31,,0,32.5,1.8,0
3772,1,1,2.44,21,,0,0.0,0.0,0
33685,1,0,4.15,23,,0,36.2,3.6,0
27037,1,1,2.6,23,,0,34.9,2.0,0
27689,1,0,1.31,21,,0,1.2,0.3,1
13102,1,0,2.64,24,,0,2.3,0.3,0
3649,1,0,3.25,21,,0,0.0,0.0,0
30067,1,0,3.33,24,,0,21.3,1.4,0
7341,1,1,1.67,22,,0,0.0,0.0,0
9450,0,0,2.47,22,,0,4.6,0.6,0
1882,0,0,2.51,0,,0,0.0,0.0,0
31231,1,1,3.97,22,,0,95.6,7.0,0
1891,1,0,3.28,18,,0,0.0,0.0,0
7179,1,0,4.42,20,,0,13.3,2.2,0
15616,1,0,2.73,21,,0,13.4,1.0,0
16085,1,0,2.47,21,,0,8.8,0.6,0
12131,0,0,2.11,50,,0,1.4,0.3,0
29077,0,0,2.27,24,,0,53.1,3.4,0
20150,0,0,0.73,0,,0,0.0,0.0,2
25859,1,0,2.24,24,,0,16.2,1.3,0
3016,0,0,3.37,22,,0,0.0,0.0,0
21791,1,0,1.99,20,,0,5.7,0.6,0
7110,0,0,0.69,14,,0,0.0,0.0,0
10559,1,0,5.11,19,,0,19.9,0.8,0
22545,1,0,3.95,10,,0,0.5,0.1,0
10883,0,0,4.22,10,,0,0.4,0.0,1
26954,0,0,2.32,19,,0,15.0,0.8,0
15936,0,0,1.42,20,,0,0.0,0.0,0
17199,0,0,5.87,24,,0,12.7,0.8,0
22754,1,0,3.14,1,,0,0.0,0.0,0
17739,0,0,2.28,18,,0,18.7,0.6,0
21924,1,0,2.02,23,,0,16.8,1.2,0
1952,1,1,2.6,21,,0,0.0,0.0,0
18702,1,1,2.1,22,,0,13.1,1.4,0
14557,0,0,1.99,16,,0,0.0,0.0,0
40134,1,1,0.02,0,,0,13.7,0.3,0
10175,1,1,7.02,25,,0,56.9,2.1,0
22058,1,0,3.35,26,,0,15.1,0.9,0
10721,0,0,2.85,24,,0,23.0,1.6,0
11892,1,1,2.25,0,,0,1.2,0.1,1
18424,1,0,1.98,23,,0,0.2,0.0,0
16389,0,0,1.07,21,,2,0.0,0.0,0
4814,1,1,3.75,0,,0,4.8,0.4,7
11247,1,1,2.27,22,,0,0.0,0.0,0
12156,1,0,2.89,22,,0,27.8,1.3,0
27073,0,0,0.79,22,,0,23.8,3.1,0
10403,0,0,7.0,10,,0,0.0,0.0,0
71485,0,0,0.04,5,,0,13.8,2.8,0
10297,0,0,2.62,22,,0,13.9,1.0,0
42328,1,0,1.4,26,,0,57.7,3.6,0
12611,1,0,6.83,33,,0,66.1,4.7,0
28646,1,1,1.56,22,,1,30.0,1.5,0
13788,0,0,2.01,23,,0,16.6,0.9,0
33835,1,0,4.05,20,,0,9.9,0.7,0
8073,0,0,4.65,24,,0,4.5,0.5,0
19066,1,0,2.03,21,,0,4.6,0.3,0
5298,0,0,4.36,22,,0,3.3,0.1,0
27601,1,0,3.48,26,,0,50.0,7.2,0
32036,1,1,2.05,26,,1,21.7,2.7,0
45605,1,1,0.71,19,,2,20.0,0.9,0
24782,1,0,5.71,32,,0,34.9,3.8,0
32563,1,1,3.52,33,,0,38.3,1.5,0
47648,0,0,2.38,57,,3,70.4,4.7,0
16373,1,0,2.39,22,,0,16.2,1.0,0
16974,1,0,2.86,20,,0,21.7,1.2,0
40684,1,1,0.76,27,,0,40.6,1.1,0
5510,0,0,8.64,24,,0,0.9,0.1,0
33517,1,1,3.4,0,,0,33.3,2.4,0
6926,0,0,3.06,22,,0,12.3,1.0,0
20442,1,0,3.33,15,,0,0.0,0.0,0
636,0,0,4.18,0,,0,0.0,0.0,0
25120,1,0,2.04,18,,0,42.8,1.7,0
20692,0,0,5.48,24,,0,45.8,3.0,0
7087,0,0,1.15,13,,1,0.0,0.0,0
38460,1,0,2.23,24,,0,19.6,1.6,0
27496,1,0,0.85,21,,0,7.6,1.5,0
29492,1,0,2.86,25,,1,11.4,2.2,0
27954,1,1,5.13,28,,0,71.7,3.5,0
28732,1,0,2.49,31,,0,75.7,6.6,0
49196,1,1,2.18,26,,0,132.3,5.6,0
11575,0,0,6.89,12,,0,5.3,0.7,6
48465,1,1,1.04,13,,0,39.5,1.9,0
10220,0,0,7.02,16,,0,13.2,2.9,0
50722,1,0,2.05,12,,0,26.4,3.4,0
11710,0,0,2.13,21,,0,2.7,0.4,0
13988,0,0,2.3,19,,0,5.7,0.7,0
7067,1,0,2.75,22,,0,4.0,0.6,0
15606,1,0,2.58,21,,0,24.6,1.6,0
17934,1,1,2.64,0,,0,18.2,1.2,7
547,0,0,4.91,24,,2,0.0,0.0,0
5617,1,1,2.05,0,,0,0.0,0.0,2
27289,1,0,0.7,21,,0,10.1,1.7,0
14629,1,0,2.45,22,,0,5.9,0.3,0
48352,1,0,1.98,22,,0,68.9,5.0,0
36140,0,0,2.82,27,,0,40.8,1.9,0
53643,1,0,2.31,20,,0,7.2,0.6,0
26881,1,1,2.52,8,,0,0.0,0.0,0
18318,1,0,2.1,21,,0,2.2,0.3,0
3552,1,0,5.08,20,,1,20.7,1.1,6
8508,1,0,4.44,26,,0,37.2,0.9,0
12866,1,0,5.6,11,,0,0.2,0.0,0
21617,1,0,2.05,22,,0,21.9,1.8,0
32343,1,0,2.13,27,,0,45.3,7.4,0
49511,1,0,1.98,6,,0,4.8,0.2,0
47224,0,0,2.44,5,,0,3.2,0.5,0
5144,0,0,3.14,13,,0,8.6,1.4,0
27347,0,0,1.48,19,,0,7.2,1.4,0
12127,1,0,0.42,0,,0,0.0,0.0,3
5593,1,0,2.61,74,,0,0.0,0.0,0
51342,1,1,2.0,20,,0,241.4,11.6,0
10120,1,0,4.65,24,,0,54.7,3.8,0
37050,0,0,3.24,24,,0,61.1,4.6,0
20581,0,0,1.03,113,,2,0.0,0.0,0
7920,0,0,2.16,24,,0,0.0,0.0,0
701,0,0,3.58,0,,0,0.0,0.0,6
24563,0,0,2.0,0,,0,0.0,0.0,0
15650,1,0,2.14,23,,3,5.7,0.8,0
11669,0,0,1.99,22,,0,0.0,0.0,0
44308,1,0,2.83,24,,0,11.4,1.8,0
9847,1,0,4.16,22,,0,4.3,0.3,0
33803,1,0,3.55,24,,0,8.8,1.2,0
5843,1,0,2.35,23,,1,0.0,0.0,0
18407,0,0,2.22,23,,1,2.5,0.4,0
292,0,0,5.44,14,,1,0.0,0.0,0
47982,1,0,2.0,22,,0,16.3,0.8,0
687,0,0,3.68,21,,0,0.0,0.0,0
44397,1,0,2.82,73,,0,182.1,6.7,0
15287,1,0,6.55,12,,0,11.0,1.2,6
19118,1,0,2.92,24,,0,14.3,0.9,0
2562,1,0,3.35,13,,0,0.0,0.0,0
6239,1,0,4.99,9,,0,3.3,0.3,6
1777,1,0,2.57,0,,1,0.0,0.0,0
15470,1,1,2.08,20,,0,27.7,2.1,0
32138,1,0,2.7,20,,0,35.6,12.8,0
47075,0,0,2.04,27,,0,21.6,2.0,0
11351,0,0,2.23,20,,0,19.3,2.6,0
2015,1,1,2.51,11,,1,0.0,0.0,0
45882,0,0,2.08,20,,0,68.2,9.2,0
18581,0,0,2.02,0,,0,0.0,0.0,0
58120,1,1,1.98,27,,0,82.8,4.6,0
39891,1,0,2.01,13,,0,35.0,1.8,0
5249,0,0,7.86,28,,1,65.2,5.6,0
21444,1,1,2.03,0,,0,4.3,0.4,7
17567,1,1,6.35,26,,0,26.1,4.8,0
3757,0,0,1.82,0,,0,0.0,0.0,0
17193,0,0,3.34,16,,0,56.8,3.1,0
2833,1,0,2.59,22,,0,0.0,0.0,0
28009,1,1,1.17,24,,0,32.4,2.0,0
254,0,0,7.58,13,,0,1.6,0.2,0
2273,0,0,5.61,10,,0,10.4,1.7,6
31254,1,0,1.31,20,,0,5.8,0.6,0
37936,1,1,1.98,30,,0,24.9,1.2,0
16401,1,0,1.98,24,,0,17.3,1.6,0
33796,1,0,0.54,46,,0,152.3,3.1,0
44322,0,0,1.58,24,,1,41.4,5.6,0
36946,1,0,2.56,24,,0,22.9,2.1,0
25153,1,1,3.99,26,,0,74.3,3.3,0
656,0,0,7.24,18,,3,18.5,1.1,0
13946,1,0,7.38,0,,0,0.0,0.0,0
32787,1,0,4.28,33,,1,67.9,4.6,0
12911,1,1,2.81,22,,1,6.6,0.9,0
22254,1,1,4.13,26,,0,10.8,0.4,0
31894,1,0,2.16,26,,0,41.8,8.5,0
49332,1,1,2.17,20,,0,17.2,0.7,0
30270,1,0,4.76,12,,1,5.1,0.5,3
17791,1,0,2.04,23,,0,17.7,3.7,0
4442,1,0,3.39,2,,0,11.2,1.7,7
14296,0,0,2.6,0,,0,4.7,0.3,7
12599,1,1,4.2,24,,0,24.7,1.2,0
21214,1,0,6.06,33,,0,122.7,10.2,0
49609,1,0,2.14,22,,0,9.3,0.3,0
31949,1,1,1.98,24,,0,15.2,0.6,0
18280,1,1,2.57,23,,0,13.9,1.2,0
